"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","583","Проверка кнопки Continue в корзине","SauceDemo CrossBrowser","Wed Jul 30 16:30:02 GMT 2025","passed","Wed Jul 30 16:30:02 GMT 2025","tests.CartTest","edge","tests.CartTest","checkButtonContinueShopping"
"","20790","Проверка добавления/удаления/отсутствия товара в корзине","SauceDemo CrossBrowser","Wed Jul 30 16:29:41 GMT 2025","passed","Wed Jul 30 16:30:01 GMT 2025","tests.CartTest","edge","tests.CartTest","removeProductCart"
"","862","Проверка кнопки Cancel","SauceDemo CrossBrowser","Wed Jul 30 16:30:05 GMT 2025","passed","Wed Jul 30 16:30:06 GMT 2025","tests.CheckoutTest","edge","tests.CheckoutTest","checkButtonCancel"
"Пользователь не авторизуется если введет только логин","404","Негативный. Авторизация без пароля. Проверка сообщения об ошибке","SauceDemo CrossBrowser","Wed Jul 30 16:29:11 GMT 2025","passed","Wed Jul 30 16:29:11 GMT 2025","tests.LoginTest","chrome","tests.LoginTest","checkLoginWithoutPassword"
"","1048","Проверка формы покупки шаг 2","SauceDemo CrossBrowser","Wed Jul 30 16:30:10 GMT 2025","passed","Wed Jul 30 16:30:11 GMT 2025","tests.CheckoutTest","edge","tests.CheckoutTest","checkFormStepTwoNegative"
"","396","Негативный. Авторизация с неверным логином, паролем. Проверка сообщения об ошибке","SauceDemo CrossBrowser","Wed Jul 30 16:29:16 GMT 2025","passed","Wed Jul 30 16:29:17 GMT 2025","tests.LoginTest","chrome","tests.LoginTest","checkLoginWithNegativeValue"
"","679","Проверка добавления/наличия товара в корзине","SauceDemo CrossBrowser","Wed Jul 30 16:29:40 GMT 2025","passed","Wed Jul 30 16:29:40 GMT 2025","tests.CartTest","edge","tests.CartTest","checkAddProductCart"
"","1931","Проверка формы покупки","SauceDemo CrossBrowser","Wed Jul 30 16:30:07 GMT 2025","passed","Wed Jul 30 16:30:08 GMT 2025","tests.CheckoutTest","edge","tests.CheckoutTest","checkFormNegative"
"","400","Негативный. Авторизация с неверным логином, паролем. Проверка сообщения об ошибке","SauceDemo CrossBrowser","Wed Jul 30 16:29:15 GMT 2025","passed","Wed Jul 30 16:29:15 GMT 2025","tests.LoginTest","chrome","tests.LoginTest","checkLoginWithNegativeValue"
"Пользователь не авторизуется если введет только логин","438","Негативный. Авторизация без пароля. Проверка сообщения об ошибке","SauceDemo CrossBrowser","Wed Jul 30 16:29:11 GMT 2025","passed","Wed Jul 30 16:29:12 GMT 2025","tests.LoginTest","chrome","tests.LoginTest","checkLoginWithoutPassword"
"","976","Позитивный. Проверка формы покупки","SauceDemo CrossBrowser","Wed Jul 30 16:30:09 GMT 2025","passed","Wed Jul 30 16:30:10 GMT 2025","tests.CheckoutTest","edge","tests.CheckoutTest","checkFormPositive"
"","830","Позитивный. Авторизация с валидным логином, паролем. Проверка перехода на страницу Products","SauceDemo CrossBrowser","Wed Jul 30 16:29:17 GMT 2025","passed","Wed Jul 30 16:29:18 GMT 2025","tests.LoginTest","chrome","tests.LoginTest","checkLogin"
"","417","Негативный. Авторизация без логина. Проверка сообщения об ошибке","SauceDemo CrossBrowser","Wed Jul 30 16:29:14 GMT 2025","passed","Wed Jul 30 16:29:14 GMT 2025","tests.LoginTest","chrome","tests.LoginTest","checkLoginWithoutUsername"
"","450","Негативный. Авторизация без логина. Проверка сообщения об ошибке","SauceDemo CrossBrowser","Wed Jul 30 16:29:12 GMT 2025","passed","Wed Jul 30 16:29:13 GMT 2025","tests.LoginTest","chrome","tests.LoginTest","checkLoginWithoutUsername"
"","414","Негативный. Авторизация без логина. Проверка сообщения об ошибке","SauceDemo CrossBrowser","Wed Jul 30 16:29:13 GMT 2025","passed","Wed Jul 30 16:29:14 GMT 2025","tests.LoginTest","chrome","tests.LoginTest","checkLoginWithoutUsername"
"","413","Негативный. Авторизация с неверным логином, паролем. Проверка сообщения об ошибке","SauceDemo CrossBrowser","Wed Jul 30 16:29:16 GMT 2025","passed","Wed Jul 30 16:29:16 GMT 2025","tests.LoginTest","chrome","tests.LoginTest","checkLoginWithNegativeValue"
"Пользователь не авторизуется если введет только логин","3190","Негативный. Авторизация без пароля. Проверка сообщения об ошибке","SauceDemo CrossBrowser","Wed Jul 30 16:29:07 GMT 2025","passed","Wed Jul 30 16:29:10 GMT 2025","tests.LoginTest","chrome","tests.LoginTest","checkLoginWithoutPassword"
"","956","Проверка кнопки корзина","SauceDemo CrossBrowser","Wed Jul 30 16:30:04 GMT 2025","passed","Wed Jul 30 16:30:05 GMT 2025","tests.CheckoutTest","edge","tests.CheckoutTest","checkButtonCart"
"","627","Проверка кнопки Checkout в корзине","SauceDemo CrossBrowser","Wed Jul 30 16:30:03 GMT 2025","passed","Wed Jul 30 16:30:03 GMT 2025","tests.CartTest","edge","tests.CartTest","checkButtonCheckOut"
"Проверка отсутствия товара в корзине","20625","Проверка отсутствия товара в корзине","SauceDemo CrossBrowser","Wed Jul 30 16:29:18 GMT 2025","passed","Wed Jul 30 16:29:39 GMT 2025","tests.CartTest","edge","tests.CartTest","checkEmptyCart"
